Subject,Question
Maths,"Let & ; T & ;& ; be the set of all in the plane , and let a relation & ; R & ;& ; on & ; T & ;& ; be defined as & ; a & ; R & ; b & ;& ; if & ; a & ;& ; is congruent to & ; b & ;?& ; a & ;,& ; b & ;?& ; T & ;. Then & ; R & ;& ; is"
Maths,"Let & ; A & ;=& ;{& ; 1 & ;,& ; 2 & ;,& ; 3 & ;}& ;& ; and consider the & ;=& ;{& ; 1 & ;,& ; 1 & ;)& ;,& ;(& ; 2 & ;,& ; 2 & ;)& ;,& ;(& ; 3 & ;,& ; 3 & ;)& ;,& ;(& ; 1 & ;,& ; 2 & ;)& ;,& ;(& ; 2 & ;,& ; 3 & ;)& ;,& ;(& ; 1 & ;,& ; 3 & ;)& ;} Then & ; R & ;& ; is"
Maths,"The identity element for the binary operation & ;?& ; defined on & ; Q & ;?& ;{& ; 0 & ;}& ; as & ; a & ;?& ; b & ;=& ; a & ; b & ; 2 & ;?& ; a & ;,& ; b & ;?& ; Q & ;?& ;{& ; 0 & ;}& ; is"
Maths,Let us define a relation & ; R & ;& ; in & ; R & ;& ; as & ; a & ; R & ; b & ;& ; if & ; a & ; & ; b & ;. Then & ; R & ;& ; is
Maths,"Let & ; A & ;=& ;{& ; 1 & ;,& ; 2 & ;,& ; 3 & ;,& ;?& ; n & ;}& ; and & ; B & ;=& ;{& ; a & ;,& ; b & ;}& ;. Then the number of from & ; A & ; into B is"
Maths,Let & ; f & ;:& ; R & ;?& ; R & ;& ; be defined by & ; f & ;(& ; x & ;)& ;=& ; 3 & ; x & ; 2 & ;?& ; 5 & ; and & ; g & ;:& ; R & ;?& ; R & ;& ; by & ; g & ;(& ; x & ;)& ;=& ; x & ; x & ; 2 & ;+& ; 1 & ; Then & ; g & ;?& ; f & ; is
Maths,Let & ; f & ;:& ; R & ;?& ;{& ; 3 & ; 5 & ;}& ;?& ; R & ;& ; be defined by & ; f & ;(& ; x & ;)& ;=& ; 3 & ; x & ;+& ; 2 & ; 5 & ; x & ;?& ; 3 & ;. Then
Maths,Let & ; f & ;:& ; R & ;?& ; R & ;& ; be defined by & ; f & ;(& ; x & ;)& ;=& ; 1 & ; x & ;?& ; x & ;?& ; R & ;.& ; Then & ; f & ;& ; is
Maths,Let & ; f & ;:& ; R & ;?& ; R & ;& ; be the defined by & ; f & ;(& ; x & ;)& ;=& ; x & ; 3 & ;+& ; 5 & ;. Then & ; f & ;?& ; 1 & ;(& ; x & ;)& ; is
Maths,Let & ; f & ;:& ; R & ;?& ; R & ;& ; be given by & ; f & ;(& ; x & ;)& ;=& ; tan & ;?& ; x & ;. Then & ; f & ;?& ; 1 & ;(& ; 1 & ;)& ;& ; is
Maths,Let & ; f & ;:& ; R & ;?& ; R & ;& ; be defined & ;(& ; x & ;)& ;=& ;{& ; 2 & ; x & ;:& ; x & ;& ;& ; 3 & ; x & ; 2 & ;:& ; 1 & ;& ;& ; x & ; & ; 3 & ; 3 & ; x & ;:& ; x & ; & ; 1 & ;& ; Then & ; f & ;(& ;?& ; 1 & ;)& ;+& ; f & ;(& ; 2 & ;)& ;+& ; f & ;(& ; 4 & ;)& ;& ; is
Maths,Which of the following to the principal value branch of & ; tan & ;?& ; 1 & ;?
Maths,The value of & ; sin & ;?& ; 1 & ;?& ;(& ; cos & ;?& ;(& ; 43 & ; & ; 5 & ;)& ;)& ; is
Maths,One branch of & ; cos & ;?& ; 1 & ; other than the principal value branch to
Maths,The principal value branch of & ; sec & ;?& ; 1 & ; is
Maths,The principal value of the expression & ; cos & ;?& ; 1 & ;?& ;[& ; cos & ;?& ;(& ;?& ; 680 & ;?& ;)& ;]& ; is
Maths,Which of the following to the principal value branch of & ; tan & ;?& ; 1 & ;?
Maths,The value of & ; sin & ;?& ; 1 & ;?& ;(& ; cos & ;?& ;(& ; 43 & ; & ; 5 & ;)& ;)& ; is
Maths,One branch of & ; cos & ;?& ; 1 & ; other than the principal value branch to
Maths,One branch of & ; cos & ;?& ; 1 & ; other than the principal value branch to
Maths,The principal value branch of & ; sec & ;?& ; 1 & ; is
Maths,The principal value of the expression & ; cos & ;?& ; 1 & ;?& ;[& ; cos & ;?& ;(& ;?& ; 680 & ;?& ;)& ;]& ; is
Maths,The value of & ; sin & ;?& ; 1 & ;?& ;(& ; cos & ;?& ;(& ; 43 & ; & ; 5 & ;)& ;)& ; is
Maths,The domain of & ; sin & ;?& ; 1 & ;?& ; 2 & ; x & ;& ; is
Maths,"If & ; tan & ;?& ; 1 & ;?& ; x & ;=& ; & ; 10 & ; for some & ; x & ;?& ; R & ;, then the value of & ; cot & ;?& ; 1 & ;?& ; x & ; is"
Maths,The value of & ; cot & ;?& ;(& ; sin & ;?& ; 1 & ;?& ; x & ;)& ; is
Maths,"sin & ;?& ; 1 & ;?& ; x & ;+& ; sin & ;?& ; 1 & ;?& ; y & ;=& ; & ; 2 & ;, then value of & ; cos & ;?& ; 1 & ;?& ; x & ;+& ; cos & ;?& ; 1 & ;?& ; y & ;& ; is"
Maths,"Let & ;?& ;=& ; sin & ;?& ; 1 & ;?& ;(& ; sin & ;?& ;(& ;?& ; 600 & ;?& ;)& ;& ;, then value of & ;?& ; is"
Maths,The value of & ; sin & ;?& ;(& ; 2 & ; sin & ;?& ; 1 & ;?& ;(& ;. 6 & ;)& ;)& ; is
Maths,The domain of the function & ; y & ;=& ; sin & ;?& ; 1 & ;?& ;(& ;?& ; x & ; 2 & ;)& ; is
Maths,"f & ; & ; & ; 2 & ; sin & ;?& ; 1 & ;?& ; x & ;+& ; cos & ;?& ; 1 & ;?& ; x & ; & ;?& ;, then"
Maths,The value of & ; tan & ; 2 & ;?& ;(& ; sec & ;?& ; 1 & ;?& ; 2 & ;)& ;+& ; cot & ; 2 & ;?& ;(& ; cosec & ;?& ; 1 & ;?& ; 3 & ;)& ; is
Maths,The value of the expression & ; sin & ;?& ;[& ; cot & ;?& ; 1 & ;?& ;(& ; cos & ;?& ;(& ; tan & ;?& ; 1 & ;?& ; 1 & ;)& ;)& ;]& ; is
Maths,The equation & ; tan & ;?& ; 1 & ;?& ; x & ;?& ; cot & ;?& ; 1 & ;?& ; x & ;=& ; tan & ;?& ; 1 & ;?& ;(& ; 1 & ; 3 & ;)& ;
Maths,Which of the following is the principal value branch of & ; cosec & ;?& ; 1 & ;?& ; x & ;?
Maths,The value of & ; sin & ;?& ; 1 & ;?& ;(& ; cos & ;?& ;(& ; 33 & ; & ; 5 & ;)& ;)& ; is
Maths,Which of the following is the principal value branch of & ; cos & ;?& ; 1 & ;?& ; x & ;?
Maths,"If & ; 3 & ; tan & ;?& ; 1 & ;?& ; x & ;+& ; cot & ;?& ; 1 & ;?& ; x & ;=& ; & ;, then & ; x & ;& ;"
Maths,The domain of the function defined by & ; f & ;(& ; x & ;)& ;=& ; sin & ;?& ; 1 & ;?& ; x & ;?& ; 1 & ;& ; is
Maths,The value of & ; sin & ;?& ;(& ; 2 & ; tan & ;?& ; 1 & ;?& ;(& ;. 75 & ;)& ;)& ; is equal to
Maths,"If & ; sin & ;?& ; 1 & ;?& ;(& ; 2 & ; a & ; 1 & ;+& ; a & ; 2 & ;)& ;+& ; cos & ;?& ; 1 & ;?& ;(& ; 1 & ;?& ; a & ; 2 & ; 1 & ;+& ; a & ; 2 & ;)& ;=& ; tan & ;?& ; 1 & ;?& ;(& ; 2 & ; x & ; 1 & ;?& ; x & ; 2 & ;)& ;, where & ;& ; a & ;,& ; x & ;?& ;]& ; 0 & ;,& ; 1 & ;, value of & ; x & ;& ; is"
Maths,The value of & ; cot & ;?& ;[& ; cos & ;?& ; 1 & ;?& ;(& ; 7 & ; 25 & ;)& ;]& ; is
Maths,"If & ; cos & ;?& ; 1 & ;?& ; & ;+& ; cos & ;?& ; 1 & ;?& ;?& ;+& ; cos & ;?& ; 1 & ;?& ;?& ;=& ; 3 & ; & ;, then & ; & ;(& ;?& ;+& ;?& ;)& ;+& ;?& ;(& ;?& ;+& ; & ;)& ;+& ;?& ;(& ; & ;+& ;?& ;)& ;"
Maths,The value of the expression & ; tan & ;?& ;(& ; 1 & ; 2 & ; cos & ;?& ; 1 & ;?& ; 2 & ; 5 & ;)& ; is
Maths,"If & ;|& ; x & ;|& ; & ; 1 & ;, then & ; 2 & ; tan & ;?& ; 1 & ;?& ; x & ;+& ; sin & ;?& ; 1 & ;?& ;(& ; 2 & ; x & ; 1 & ;+& ; x & ; 2 & ;)& ; is equal to"
Maths,"If & ;|& ; x & ;|& ; & ; 1 & ;, then & ; 2 & ; tan & ;?& ; 1 & ;?& ; x & ;+& ; sin & ;?& ; 1 & ;?& ;(& ; 2 & ; x & ; 1 & ;+& ; x & ; 2 & ;)& ; is equal to"
Maths,"If & ; A & ;=& ;[& ; 2 & ;?& ; 1 & ; 3 & ;?& ; 4 & ; 5 & ; 1 & ;]& ; and & ; B & ;=& ;[& ; 2 & ; 3 & ; 4 & ;?& ; 2 & ; 1 & ; 5 & ;]& ;, then"
Maths,The matrix & ; A & ;=& ;[& ; 0 & ; 0 & ; 5 & ; 0 & ; 5 & ; 0 & ; 5 & ; 0 & ; 0 & ;]& ; is a
Maths,"& ; If & ; A & ;& ; and & ; B & ;& ; are symmetric matrices of the same order , then & ;(& ; A & ; B & ;?& ;?& ; B & ; A & ;?& ;)& ; is a"
Maths,The matrix & ; P & ;=& ;[& ; 0 & ; 0 & ; 4 & ; 0 & ; 4 & ; 0 & ; 4 & ; 0 & ; 0 & ;]& ; is a
Maths,"If & ; A & ;=& ; 1 & ; & ;[& ; sin & ;?& ; 1 & ;?& ;(& ; x & ; & ;)& ; tan & ;?& ; 1 & ;?& ;(& ; x & ; & ;)& ; sin & ;?& ; 1 & ;?& ;(& ; x & ; & ;)& ; cot & ;?& ; 1 & ;?& ;(& ; & ; x & ;)& ;]& ;,& ; B & ;=& ; 1 & ; & ;[& ;?& ; cos & ;?& ; 1 & ;?& ;(& ; x & ; & ;)& ; tan & ;?& ; 1 & ;?& ;(& ; x & ; & ;)& ; sin & ;?& ; 1 & ;?& ;(& ; x & ; & ;)& ;?& ; tan & ;?& ; 1 & ;?& ;(& ; & ; x & ;)& ;]& ;, & ;?& ; B & ;& ; is equal to"
Maths,"If matrix & ; A & ;=& ;[& ; a & ; i & ; j & ;]& ; 2 & ;?& ; 2 & ;, where & ; a & ; i & ; j & ;=& ; 1 & ; if & ; i & ;?& ; j & ;=& ; 0 & ; if & ; i & ;=& ; j & ; then & ; A & ; 2 & ; is equal to"
Maths,The matrix & ;[& ; 1 & ; 0 & ; 0 & ; 0 & ; 2 & ; 0 & ; 0 & ; 0 & ; 4 & ;]& ; is a
Maths,"For any two matrices & ; A & ;& ; and & ; B & ;, we have"
Maths,"On elementary row operation & ; R & ; 1 & ;?& ; R & ; 1 & ;?& ; 3 & ; R & ; 2 & ;& ; in the following matrix equation :[& ; 4 & ; 2 & ; 3 & ; 3 & ;]& ;=& ;[& ; 1 & ; 2 & ; 0 & ; 3 & ;]& ;[& ; 2 & ; 0 & ; 1 & ; 1 & ;]& ;, we have :"
Maths,"If & ; A & ;& ; is matrix of order & ; m & ;?& ; n & ; and & ; B & ;& ; is a matrix such that & ; A & ; B & ;?& ;& ; and & ; B & ;?& ; A & ;& ; are both defined , then order of matrix & ; B & ;& ; is"
Maths,"& ; If & ; x & ;,& ; y & ;?& ; R & ;, then the determinant & ;?& ;=& ;|& ; cos & ;?& ; x & ;?& ; sin & ;?& ; x & ; 1 & ; sin & ;?& ; x & ; cos & ;?& ; x & ; 1 & ; cos & ;?& ;(& ; x & ;+& ; y & ;)& ;?& ; sin & ;?& ;(& ; x & ;+& ; y & ;)& ; 0 & ;|& ;"
Maths,"Let & ;?& ;=& ;|& ; A & ; x & ; x & ; 2 & ; 1 & ;& ; B & ; y & ; y & ; 2 & ; 1 & ; C & ; z & ; z & ; 2 & ; 1 & ;|& ; and & ;?& ; 1 & ;=& ;|& ; A & ; B & ; C & ; x & ; y & ; z & ; z & ; y & ; z & ; x & ; x & ; y & ;|& ;, then"
Maths,The value of determinant & ;|& ; a & ;?& ; b & ; b & ;+& ; c & ; a & ; b & ;?& ; a & ; c & ;+& ; a & ; b & ; c & ;?& ; a & ; a & ;+& ; b & ; c & ;|& ;
Maths,The determinant & ;|& ; b & ; 2 & ;?& ; a & ; b & ; b & ;?& ; c & ; b & ; c & ;?& ; a & ; c & ; a & ; b & ;?& ; a & ; 2 & ; a & ;?& ; b & ; b & ; 2 & ;?& ; a & ; b & ; b & ; c & ;?& ; a & ; c & ; c & ;?& ; a & ; a & ; b & ;?& ; a & ; 2 & ;|& ;
Maths,"If & ;|& ; 2 & ; x & ; 5 & ; 8 & ; x & ;|& ;=& ;|& ; 6 & ;?& ; 2 & ; 7 & ; 3 & ;|& ;, then value of & ; x & ;& ; is"
Maths,"If & ; A & ;,& ; B & ;& ; and & ; C & ;& ; are of a triangle , then the determinant |& ;?& ; 1 & ; cos & ;?& ; C & ; cos & ;?& ; B & ; cos & ;?& ; C & ;?& ; 1 & ; cos & ;?& ; A & ; cos & ;?& ; B & ; cos & ;?& ; A & ;?& ; 1 & ;|& ; is equal to"
Maths,"Let & ; f & ;(& ; t & ;)& ;=& ;|& ; cos & ;?& ; t & ; t & ; 1 & ; 2 & ; sin & ;?& ; t & ; t & ; 2 & ; t & ; sin & ;?& ; t & ; t & ; t & ;|& ;, then & ; lim & ; t & ;?& ; 0 & ; f & ;(& ; t & ;)& ; t & ; 2 & ; is equal to"
Maths,The maximum value of & ;?& ;=& ;|& ; 1 & ; 1 & ; 1 & ; 1 & ; 1 & ;+& ; sin & ;?& ;?& ; 1 & ; 1 & ;+& ; cos & ;?& ;?& ; 1 & ; 1 & ;|& ; is & ;(& ;?& ; is real number )
Maths,"If & ; x & ;,& ; y & ;,& ; z & ; are all different from zero and & ;|& ; 1 & ;+& ; x & ; 1 & ; 1 & ; 1 & ; 1 & ;+& ; y & ; 1 & ; 1 & ; 1 & ; 1 & ;+& ; z & ;|& ;=& ; 0 & ;, then value of & ; x & ;?& ; 1 & ;+& ; y & ;?& ; 1 & ;+& ; z & ;?& ; 1 & ; is"
Maths,"If & ; f & ;(& ; x & ;)& ;=& ;|& ; x & ;+& ; a & ; 0 & ; x & ;?& ; c & ; x & ;+& ; b & ; x & ;+& ; c & ; 0 & ;|& ;, then"
Maths,"If & ; A & ;=& ;[& ; 2 & ;?& ;?& ; 3 & ; 0 & ; 2 & ; 5 & ; 1 & ; 1 & ; 3 & ;]& ;, then & ; A & ;?& ; 1 & ; if"
Maths,"& ; The function & ; f & ;(& ; x & ;)& ;=& ;{& ; sin & ;?& ; x & ; x & ;+& ; cos & ;?& ; x & ;,& ; if & ; x & ;?& ; 0 & ; k & ;& ;,& ; if & ; x & ;=& ; 0 & ;& ; is continuous at & ; x & ;=& ; 0 & ;, then the value of & ; k & ;& ; is"
Maths,& ; The number of at which the function & ; f & ;(& ; x & ;)& ;=& ; 1 & ; x & ;?& ;[& ; x & ;]& ; is not continuous is
Maths,"The function & ; f & ;(& ; x & ;)& ;=& ;[& ; x & ;]& ;, where & ;[& ; x & ;]& ; the integer function , is continuous at"
Maths,"The value of & ; k & ;& ; which the function defined & ;(& ; x & ;)& ;=& ;{& ; sin & ;?& ; 1 & ; x & ;,& ; if & ; x & ;?& ; 0 & ; k & ;,& ; if & ; x & ;=& ; 0 & ;& ;, continuous at & ; x & ;=& ; 0 & ;& ; is"
Maths,"If & ; f & ;(& ; x & ;)& ;=& ; 2 & ; x & ;& ; and & ; g & ;(& ; x & ;)& ;=& ; x & ; 2 & ; 2 & ;+& ; 1 & ;, then which of the following can be a discontinuous function"
Maths,The function & ; f & ;(& ; x & ;)& ;=& ; e & ;|& ; x & ;|& ; is
Maths,"If & ; f & ;(& ; x & ;)& ;=& ; x & ; 2 & ; sin & ;?& ; 1 & ; x & ;, where & ; x & ;?& ; 0 & ;, then the value of the function & ; f & ; at & ; x & ;=& ; 0 & ;, so function is continuous at & ; x & ;=& ; 0 & ;, is"
Maths,"If & ; f & ;(& ; x & ;)& ;=& ; 2 & ; x & ;& ; and & ; g & ;(& ; x & ;)& ;=& ; x & ; 2 & ; 2 & ;+& ; 1 & ;, then which of the following can be a discontinuous function"
Maths,The function & ; f & ;(& ; x & ;)& ;=& ; 4 & ;?& ; x & ; 2 & ; 4 & ; x & ;?& ; x & ; 3 & ; is
Maths,"If & ; f & ;(& ; x & ;)& ;=& ; x & ; 2 & ; sin & ;?& ; 1 & ; x & ;, where & ; x & ;?& ; 0 & ;, then the value of the function & ; f & ; at & ; x & ;=& ; 0 & ;, so function is continuous at & ; x & ;=& ; 0 & ;, is"
Maths,"If & ; y & ;=& ; log & ;?& ;(& ; 1 & ;?& ; x & ; 2 & ; 1 & ;+& ; x & ; 2 & ;)& ;, then & ; d & ; y & ; d & ; x & ; is equal to"
Maths,The derivative of & ; cos & ;?& ; 1 & ;?& ;(& ; 2 & ; x & ; 2 & ;?& ; 1 & ;)& ; w . r . t .& ; cos & ;?& ; 1 & ;?& ; x & ;& ; is
Maths,"If & ; x & ;=& ; t & ; 2 & ;,& ; y & ;=& ; t & ; 3 & ;, then & ; d & ; 2 & ; y & ; d & ; x & ; 2 & ; is"
Maths,"The value of & ; c & ;& ; in ' s theorem for the function & ; f & ;(& ; x & ;)& ;=& ; x & ; 3 & ;?& ; 3 & ; x & ;& ; in the interval & ;[& ; 0 & ;,& ; 3 & ;]& ; is"
Maths,"For the function & ; f & ;(& ; x & ;)& ;=& ; x & ;+& ; 1 & ; x & ;,& ; x & ;?& ;[& ; 1 & ;,& ; 3 & ;]& ;, the value of & ; c & ;& ; for mean value theorem is"
Maths,The two & ; x & ; 3 & ;?& ; 3 & ; x & ; y & ; 2 & ;+& ; 2 & ;=& ; 0 & ;& ; and & ; 3 & ; x & ; 2 & ; y & ;?& ; y & ; 3 & ;=& ; 2
Maths,"The abscissa of the point on the curve & ; 3 & ; y & ;=& ; 6 & ; x & ;?& ; 5 & ; x & ; 3 & ;, the normal at which through origin is :"
Maths,"& ; The tangent to the curve given by & ; x & ;=& ; e & ; t & ;.& ; cos & ;?& ; t & ;,& ; y & ;=& ; e & ; t & ;?& ; sin & ;?& ; t & ;& ; at & ; t & ;=& ; & ; 4 & ; with & ; x & ;- axis an angle :"
Maths,"If & ; y & ;=& ; x & ; 4 & ;?& ; 10 & ; and if & ; x & ; from 2 to & ; 1 . 99 & ;, what is the change in & ; y"
Maths,"If the curve & ; a & ; y & ;+& ; x & ; 2 & ;=& ; 7 & ; and & ; x & ; 3 & ;=& ; y & ;, cut orthogonally at & ;(& ; 1 & ;,& ; 1 & ;)& ;, then the value of & ; a & ; is :"
Maths,The equation of normal to the curve & ; 3 & ; x & ; 2 & ;?& ; y & ; 2 & ;=& ; 8 & ; which is parallel to the line & ; x & ;+& ; 3 & ; y & ;=& ; 8 & ; is
Maths,"The tangent to the curve & ; y & ;=& ; e & ; 2 & ; x & ; at the point & ;(& ; 0 & ;,& ; 1 & ;)& ;& ; & ; x & ;- axis at :"
Maths,The at which the to the curve & ; y & ;=& ; x & ; 3 & ;?& ; 12 & ; x & ;+& ; 18 & ;& ; are parallel to & ; x & ;- axis are :
Maths,"A ladder , 5 meter long , standing on a horizontal floor , against a vertical wall . If the top of the ladder at the rate of & ; 10 & ;& ; c & ; m & ;/& ; s & ; e & ; c & ;, then the rate at which the angle between the floor and the ladder is decreasing when lower end of ladder is 2 from the wall is :"
Maths,"The equation of tangent to the curve & ; y & ;(& ; 1 & ;+& ; x & ; 2 & ;)& ;=& ; 2 & ;?& ; x & ;, where it & ; x & ;- axis is :"
Maths,"The sides of an equilateral triangle are increasing at the rate of & ; 2 & ;& ; c & ; m & ;/& ; s & ; e & ; c & ;. The rate at which the area , when side is & ; 10 & ;& ; c & ; m & ; is :"
Maths,"The curve & ; y & ;=& ; x & ; 1 & ; 5 & ; at & ;(& ; 0 & ;,& ; 0 & ;)"
Maths,The interval on which the function & ; f & ;(& ; x & ;)& ;=& ; 2 & ; x & ; 3 & ;+& ; 9 & ; x & ; 2 & ;+& ; 12 & ; x & ;?& ; 1 & ;& ; is decreasing is :
Maths,y & ;=& ; x & ;(& ; x & ;?& ; 3 & ;)& ; 2 & ; for the of & ; x & ; given by :
Maths,"Which of the following is decreasing on & ;(& ; 0 & ;,& ; & ; 2 & ;)& ;"
Maths,"The slope of tangent to the curve & ; x & ;=& ; t & ; 2 & ;+& ; 3 & ; t & ;?& ; 8 & ;,& ; y & ;=& ; 2 & ; t & ; 2 & ;?& ; 2 & ; t & ;?& ; 5 & ;& ; at the point & ;(& ; 2 & ;,& ;?& ; 1 & ;)& ;& ; is :& ;"
Maths,"Let the & ; f & ;:& ; R & ;?& ; R & ;& ; be defined by & ; f & ;(& ; x & ;)& ;=& ; 2 & ; x & ;+& ; cos & ;?& ; x & ;, then & ; f & ;:& ;& ;"
Maths,The function & ; f & ;(& ; x & ;)& ;=& ; 4 & ; sin & ; 3 & ;?& ; x & ;?& ; 6 & ; sin & ; 2 & ;?& ; x & ;+& ; 12 & ; sin & ;?& ; x & ;+& ; 100 & ;& ; is strictly
Maths,The function & ; f & ;(& ; x & ;)& ;=& ; tan & ;?& ; x & ;?& ; x
Maths,The two & ; x & ; 3 & ;?& ; 3 & ; x & ; y & ; 2 & ;+& ; 2 & ;=& ; 0 & ;& ; and & ; 3 & ; x & ; 2 & ; y & ;?& ; y & ; 3 & ;?& ; 2 & ;=& ; 0 & ;& ; intersect at an angle of
Maths,f & ;(& ; x & ;)& ;=& ; x & ; x & ; a stationary point at
Maths,The maximum value of & ; sin & ;?& ; x & ;?& ; cos & ;?& ; x & ;& ; is
Maths,"If & ; x & ; is real , the minimum value of & ; x & ; 2 & ;?& ; 8 & ; x & ;+& ; 17 & ; is"
Maths,The maximum value of & ;(& ; 1 & ; x & ;)& ; x & ; is :
Maths,"The function & ; f & ;(& ; x & ;)& ;=& ; 2 & ; x & ; 3 & ;?& ; 3 & ; x & ; 2 & ;?& ; 12 & ; x & ;+& ; 4 & ;,"
Maths,"The value of the polynomial & ; x & ; 3 & ;?& ; 18 & ; x & ; 2 & ;+& ; 96 & ; x & ; in & ;[& ; 0 & ;,& ; 9 & ;]& ; is"
Maths,"At & ; x & ;=& ; 5 & ; & ; 6 & ;,& ; f & ;(& ; x & ;)& ;=& ; 2 & ; sin & ;?& ; 3 & ; x & ;+& ; 3 & ; cos & ;?& ; 3 & ; x & ; is :"
Maths,Maximum slope of the curve & ; y & ;=& ;?& ; x & ; 3 & ;+& ; 3 & ; x & ; 2 & ;+& ; 9 & ; x & ;?& ; 27 & ; is :
Maths,"& ; If & ;?& ; 3 & ; e & ; x & ;?& ; 5 & ; e & ;?& ; x & ; 4 & ; e & ; x & ;+& ; 5 & ; e & ;?& ; x & ; d & ; x & ;=& ; a & ; x & ;+& ; b & ; log & ;?& ;|& ; 4 & ; e & ; x & ;+& ; 5 & ; e & ;?& ; x & ;|& ;+& ; C & ;, then"
Maths,"If & ;?& ; 0 & ; 1 & ; e & ; t & ; 1 & ;+& ; t & ; d & ; t & ;=& ; a & ;, then & ;?& ; 0 & ; 1 & ; e & ; t & ;(& ; 1 & ;+& ; t & ;)& ; 2 & ; d & ; t & ;& ; is equal to"
Maths,?& ; e & ; x & ;(& ; cos & ;?& ; x & ;?& ; sin & ;?& ; x & ;)& ; d & ; x & ;& ; is equal to
Maths,?& ; a & ;+& ; c & ; b & ;+& ; c & ; f & ;(& ; x & ;)& ; d & ; x & ;& ; is equal to
Maths,& ;?& ;?& ; 2 & ; 2 & ;|& ; x & ; cos & ;?& ; & ; x & ;|& ; d & ; x & ;& ; is equal to
Maths,?& ;?& ; 1 & ; 1 & ; x & ; 3 & ;+& ;|& ; x & ;|& ;+& ; 1 & ; x & ; 2 & ;+& ; 2 & ;|& ; x & ;|& ;+& ; 1 & ; d & ; x & ;& ; is equal to
Maths,"& ; If & ; x & ;=& ;?& ; 0 & ; y & ; d & ; t & ; 1 & ;+& ; 9 & ; t & ; 2 & ; and & ; d & ; 2 & ; y & ; d & ; x & ; 2 & ;=& ; a & ; y & ;, then & ; a & ;& ; is equal to"
Maths,"If & ; f & ;& ; and & ; g & ;& ; are continuous in & ;[& ; 0 & ;,& ; 1 & ;]& ; satisfying & ; f & ;(& ; x & ;)& ;=& ; f & ;(& ; a & ;?& ; x & ;)& ; and & ; g & ;(& ; x & ;)& ;+& ; g & ;(& ; a & ;?& ; x & ;)& ;=& ; a & ;, then & ;?& ; 0 & ; a & ; f & ;(& ; x & ;)& ;?& ; g & ;(& ; x & ;)& ; d & ; x & ;& ; is equal to"
Maths,?& ; d & ; x & ; sin & ; 2 & ;?& ; x & ; cos & ; 2 & ;?& ; x & ; is equal to
Maths,?& ; cos & ;?& ; 2 & ; x & ;?& ; cos & ;?& ; 2 & ;?& ; cos & ;?& ; x & ;?& ; cos & ;?& ;?& ; d & ; x & ;& ; is equal to
Maths,?& ; x & ; 3 & ; x & ;+& ; 1 & ; is equal to
Maths,?& ; d & ; x & ; sin & ;?& ;(& ; x & ;?& ; a & ;)& ; sin & ;?& ;(& ; x & ;?& ; b & ;)& ; is equal to
Maths,"If & ;?& ; d & ; x & ;(& ; x & ;+& ; 2 & ;)& ;(& ; x & ; 2 & ;+& ; 1 & ;)& ;=& ; a & ; log & ;?& ;|& ; 1 & ;+& ; x & ; 2 & ;|& ;+& ; b & ; tan & ;?& ; 1 & ;?& ; x & ;+& ; 1 & ; 5 & ; log & ;?& ;|& ; x & ;+& ; 2 & ;|& ;+& ; C & ;, then"
Maths,?& ; 0 & ; & ; 2 & ; 1 & ;?& ; sin & ;?& ; 2 & ; x & ; d & ; x & ; is equal to
